+-------------+--------------------------------+------------------------------------------+
| ID          | Username                       | Full Name                                |
+-------------+--------------------------------+------------------------------------------+
| 35870903257 | zerotemp.sx                    | ★vulgo tempx                             |
| 8270426667  | delima_kaue                    | Kaue de Lima                             |
| 40240336735 | _hawk06                        | HAWK FF                                  |
| 6632566643  | edniesilva_                    | 𝕰𝖉𝖓𝖎𝖊 𝕾𝖎𝖑𝖛𝖆 🇧🇷                           |
| 7094712372  | bruno_reis05                   | Bruno Reis                               |
| 11588269111 | lucaxpkrl                      | Lucas.ff                                 |
| 38816200636 | r4zuri                         | RAZ4RI                                   |
| 47369652785 | rajuuri                        | RAJAH♥️YUURI                             |
| 12125243920 | desativadorayw                 | nobodyy                                  |
| 23435708477 | redzinrj_                      | REDZIN  RJ                               |
| 4449844999  | nowakpkl                       | nowak                                    |
| 46451193790 | gilson_souto_10                |                                          |
| 42407945158 | gustavo.geovane.395            | Gustavo Geovane                          |
| 6037543930  | ntzinffx_                      | F   ntziin                               |
| 27672805728 | jacksonvieira59                | Jackson Vieira                           |
| 4227807276  | talissouza1                    | Talis 🙅🏻‍♂️🔥                            |
| 48484952586 | fluxo_rajahfv                  | FX  rajah                                |
| 3429917318  | leozin___007                   | Leonardo Moraes                          |
| 48424355217 | pankzinnnop                    | PANK OP                                  |
| 38064317849 | marcos777xl                    | Marcos Santos                            |
| 44837622500 | angelo_marcon_maraschin        | 𝔸𝕟𝕘𝕖𝕝𝕠                                   |
| 4767138806  | otaviodazimba                  | Otavio Augusto                           |
| 2173688878  | luis_papaxt                    | Luis Carlos                              |
| 47593486016 | guinobrenobre                  | Gui Nobre Nobre                          |
| 48072364116 | goncalveshenzo19               | henzogonçalves                           |
| 46577401632 | krause.trem                    | LORD TREMXL                              |
| 47243191592 | magno_ff.br                    | É O MAGNO NÉ VIDA🤬                       |
| 21265427249 | enzinpkrl                      |                                          |
| 48354036915 | taubatecityrp_                 | Taubatécityrp                            |
| 4620026967  | sads_exe                       | ᴇ́ ᴏ sᴀᴅs ᴅᴏ ɪᴘʜᴏɴᴇ                       |
| 23160382821 | guilhermepereiraa0             | Guilherme Queiroz                        |
| 5991811454  | geanpgrippa                    | Gean Grippa                              |
| 48171270316 | 4v4_ezy                        | CAMP 4X4  S1   EZY                       |
| 3020182331  | leo_garciasouza                | Leonardo Garcia Souza                    |
| 5695942038  | joaossilva_                    | Joao Silva                               |
| 39370061763 | pedro.avallone.5               | Pedro Avallone                           |
| 48144561944 | josue_60602                    | josue_6060                               |
| 28225769988 | alissonvilar2                  | alissonvilar                             |
| 39551824962 | ff_best_19                     | Guilherme Carvalho                      |
| 26114527144 | ricck27                        | ricck27                                  |
| 18020031625 | _dola9                         | LAF  DOLAA亗                             |
| 25985483922 | garcia.pvvdd                   | PAI TA FIBRADO 🥵🥵🥶                       |
| 1704494742  | _jeannifer                     | jenninha uchiha                          |
| 47869477214 | by.nathyy                      | nathy❤️                                  |
| 9360495610  | arthur_oliveira_righi          | ~𝒓𝒊𝒈𝒉𝒊~                                  |
| 40425670652 | rafael_couto2                  | Rafael                                   |
| 14422670317 | carterffx                      |                                          |
| 3969474714  | annypkrl                       | Anny                                     |
| 6596386224  | rodrigu.r_                     | Rodrigo                                  |
| 36490309381 | m_vinixp                       | ViniXP🐊                                  |
| 48755560142 | mazbhooth                      | Mazbooth organic henna                   |
| 29846805318 | santozxff_                     | Leozinhoo ✨                              |
| 48758058761 | loud.loranne                   |                                          |
| 45312071043 | manogui011                     | Guilherme $antos                         |
| 21541112625 | joaopompolo                    | T̶o̶g̶e̶ⁿᵏ                                   |
| 25968443062 | _joaozincomplex                | joao.bitencourt                          |
| 46707440477 | 263_kaua                       | Alisson                                  |
| 32013902842 | safad0sbr_oficial              | CONTA OFICIAL!                           |
| 24118969794 | pietro__playres                | 4k_PiETro                                |
| 6887941530  | d4nkof333                      | Dathan Cybis                             |
| 11370636439 | biel_msm_                      | Victor Gabriel                           |
| 26580811127 | rcz_moreno                     | RCZㅤMORENOㅤ〆                            |
| 7295309558  | dgzinz.op                      | 1p                                       |
| 47633385286 | perfect_777x                   | Perfect_777                              |
| 47913903402 | eaekaua_7                      | Kauã Lima Lisboa                         |
| 910920807   | whoutt9_ff                     | WHOUTT9                                  |
| 27156065636 | wendelldecampos                | wendell oficial                          |
| 15691950699 | nemo_ofcc                      |                                          |
| 9258587614  | bielzin.x5                     | Biel DuMonster                           |
| 15288183241 | zarakioficial                  | ZARAKI  TV                               |
| 48174242513 | gabriel_ff_010                 | Gabriel Vitor                            |
| 7426209632  | krystofferkain                 | Krystoffer Kain                          |
| 47187748244 | guilhermesilvaa22332gmail.com9 | guilhermesilvaa22332@gmail.com           |
| 3240649869  | kayquevictor12                 | victor kayque                            |
| 6830371758  | tha.ynan                       | Thaynan Lucas                            |
| 35558789121 | meliodasxt777                  | meliodasXT                               |
| 44091766148 | aaries027                      | (Daniel) ARIES 027💸                      |
| 42074919019 | segue___________a_bioooooo___  | olha a bioooooooo                        |
| 39896137756 | sergiomonaco_333               | Sérgio Mônaco                            |
| 44243255066 | erick_freitas14                | Erick Freitas                            |
| 4352236208  | baleeiroff                     | Baleeiro                                 |
